Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,CEP,Município,Bairro,url,Final de placa
"Carros, vans e utilitários",NISSAN FRONTIER ATTAC.CD 4X4 2.3 BI-TB DIE. AUT,NISSAN,Pick-up,2021,0,2.0 - 2.9,Diesel,Automático,Hidráulica,Outra,4 portas,50720100,Recife,Madalena,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/nissan-frontier-attack-2-3-biturbo-diesel-automatic-2021-okm-750759823,
"Carros, vans e utilitários",HONDA CITY SEDAN LX 1.5 FLEX 16V 4P AUT.,HONDA,Passeio,2015,51259,1.5,Flex,Automático,Elétrica,Preto,4 portas,50721000,Recife,Cordeiro,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/honda-city-1-5-lx-cvt-automa-2015-r-55-990-00-ligue-agora-urgente-888383743,2
"Carros, vans e utilitários",RENAULT KWID ZEN 1.0 FLEX 12V 5P MEC.,RENAULT,Hatch,2019,29860,1.0,Flex,Manual,Elétrica,Branco,4 portas,50830260,Recife,Prado,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-zen-886439886,6
"Carros, vans e utilitários",HYUNDAI HB20S C.PLUS/C.STYLE1.0 FLEX 12V MEC. 4P,HYUNDAI,Sedã,2018,43500,1.0,Flex,Manual,Hidráulica,Cinza,4 portas,52070660,Recife,Casa Amarela,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/hb20-s-1-0-confort-plus-2018-892495296,
"Carros, vans e utilitários",HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P MEC.,HONDA,SUV,2012,1,1.4,Flex,Manual,Hidráulica,Cinza,4 portas,50720655,Recife,Zumbi,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-lx-2011-2012-km-1-r-37-990-00-898577567,2
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL TRENDLINE 1.0 T.FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2018,30000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,50630000,Recife,Cordeiro,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/gol-1-0-trendline-2019-898577165,3
"Carros, vans e utilitários",NISSAN KICKS SV 1.6 16V FLEXSTAR 5P AUT.,NISSAN,SUV,2020,40822,1.6,Flex,Automático,Elétrica,Preto,4 portas,54315570,Jaboatão dos Guararapes,Jardim Jordão,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/kicks-1-6-16v-flexstart-sv-xtronic-864361310,9
"Carros, vans e utilitários",FIAT MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,Hatch,2020,38000,1.0,Flex,Manual,Elétrica,Branco,4 portas,50610230,Recife,Madalena,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/mobi-like-2020-parcelas-de-899-00-892661815,6
"Carros, vans e utilitários",GM - CHEVROLET HATCH 1.0 12V TB FLEX 5P AUT,GM - CHEVROLET,Hatch,2020,23843,1.0,Flex,Manual,Elétrica,Prata,4 portas,53130360,Olinda,Casa Caiada,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-1-0-2020-888325707,6
"Carros, vans e utilitários",GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,Sedã,2020,46000,1.8,Flex,Automático,Hidráulica,Prata,4 portas,50800000,Recife,Iputinga,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/cobalt-ltz-automatico-1-8-2020-extra-893434319,5
"Carros, vans e utilitários",RENAULT DUSTER DYNAMIQUE 1.6 FLEX 16V AUT.,RENAULT,Passeio,2020,42687,,Flex,Automático,,,4 portas,54330000,Jaboatão dos Guararapes,Cajueiro Seco,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/duster-2019-2020-1-6-16v-sce-flex-dynamique-x-tronic-810410515,6
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE 1.6 MSI FLEX 8V 4P,VW - VOLKSWAGEN,Passeio,2020,30820,,Flex,Manual,,,4 portas,54330000,Jaboatão dos Guararapes,Cajueiro Seco,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/voyage-2019-2020-1-6-msi-totalflex-4p-manual-875985767,0
"Carros, vans e utilitários",HONDA CIVIC SED LX 1.8 AUT 4P,HONDA,Sedã,2011,130000,1.8,Flex,Automático,Elétrica,Cinza,4 portas,54753774,Camaragibe,Jardim Primavera,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-898576402,6
