Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Tipo de veículo
"Carros, vans e utilitários",FIAT PALIO WEEKEND ADVENTURE 1.6 8V/16V,FIAT,2003,212000,1.6,Gasolina,Manual,Hidráulica,Prata,4 portas,6,79103650,Campo Grande,Residencial Ana Maria do Couto,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/palio-weekend-adventure-2002-2003-890705528,
"Carros, vans e utilitários", ,,2016,100100,,,,,,4 portas,2,79002913,Campo Grande,Centro,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/oportunidade-de-compra-de-seu-veiculo-moto-890733256,
"Carros, vans e utilitários",VW - VOLKSWAGEN PASSAT HIGHLINE 2.0 TSI 220CV TIP.,VW - VOLKSWAGEN,2017,82000,2.0 - 2.9,Gasolina,Automático,Elétrica,Cinza,4 portas,4,79380000,Miranda,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/passat-2017-890701569,Sedã
"Carros, vans e utilitários",HYUNDAI HB20,HYUNDAI,2017,21000,1.6,Flex,Manual,Hidráulica,Prata,4 portas,,79010040,Campo Grande,Monte Castelo,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-2017-890702834,
"Carros, vans e utilitários",VW - VOLKSWAGEN ,VW - VOLKSWAGEN,2019,345436,1.0,Flex,Automático,Elétrica,Branco,4 portas,6,79780000,Bataguassu,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/venda-890704160,SUV
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 PLUS 8V 2P,VW - VOLKSWAGEN,2004,233700,,,,,,2 portas,,79040455,Campo Grande,Chácara Cachoeira,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/gol-g3-2004-890699932,
"Carros, vans e utilitários",AUDI A4 2.0 16V TFSI 183/180CV MULTITRONIC,AUDI,2011,137135,2.0 - 2.9,Gasolina,Automático,Hidráulica,Preto,4 portas,0,79080761,Campo Grande,Jardim América,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/audi-a4-2-0-890700574,Sedã
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL,VW - VOLKSWAGEN,2012,112000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,,79000000,Campo Grande,Centro,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/entrada-promocional-de-2-700-890697475,Hatch
"Carros, vans e utilitários",HONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.,HONDA,2018,24000,,Flex,Automático,Hidráulica,Preto,,,79051200,Campo Grande,Jardim TV Morena,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hr-v-exl-1-8-16v-890699714,SUV
"Carros, vans e utilitários", ,,2014,0,,,,,,,,79037200,Campo Grande,Jardim Veraneio,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/quadriciclo-cam-am-outlander-400-ano-2014-890697525,
